Year,Car,Model,Kilometre Driven,Fuel Type,Transmission Type,Location,Price
2012,Hyundai,Hyundai i10 MAGNA 1.1,"1,00,144 KM",PETROL,MANUAL,New Delhi,1.73 lakh
2013,Hyundai,Hyundai Eon MAGNA +,"1,00,340 KM",PETROL,MANUAL,New Delhi,1.94 lakh
2017,Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,"1,01,051 KM",PETROL,AUTOMATIC,New Delhi,7.59 lakh
2016,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"1,01,240 KM",PETROL,AUTOMATIC,New Delhi,7.21 lakh
2017,Tata,Tata Tiago XTA PETROL,"1,02,235 KM",PETROL,AUTOMATIC,New Delhi,3.84 lakh
2017,Honda,Honda City 1.5L I-VTEC SV,"1,02,835 KM",PETROL,MANUAL,New Delhi,6.27 lakh
2015,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"1,02,963 KM",PETROL,MANUAL,New Delhi,6 lakh
2018,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,"1,03,702 KM",PETROL,MANUAL,New Delhi,7.13 lakh
2013,Honda,Honda Amaze 1.2L I-VTEC EX,"1,07,855 KM",PETROL,MANUAL,New Delhi,2.73 lakh
2018,Hyundai,Elite,"1,09,516 KM",PETROL,MANUAL,Lucknow,4.91 lakh
2015,Hyundai,Grand,"1,10,093 KM",CNG,MANUAL,Lucknow,3.23 lakh
2017,Hyundai,Hyundai New Elantra 2.0 SX(O) AT PETROL,"1,13,960 KM",PETROL,AUTOMATIC,New Delhi,8.93 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.2,"1,14,720 KM",PETROL,MANUAL,New Delhi,1.61 lakh
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"1,22,390 KM",PETROL,MANUAL,New Delhi,6.53 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"10,212 KM",PETROL,MANUAL,New Delhi,4.96 lakh
2022,Hyundai,Hyundai NEW I20 N LINE N6 1.0 TURBO GDI IMT,"10,797 KM",PETROL,MANUAL,New Delhi,9.19 lakh
2021,Honda,Honda City 1.5L I-VTEC ZX,10000 KM,PETROL,AUTOMATIC,Gurgaon,12 lakh
2018,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,10386 KM,PETROL,AUTOMATIC,Gurgaon,4.85 lakh
2016,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,10669 KM,PETROL,AUTOMATIC,Gurgaon,2.22 lakh
2023,Tata,Tiago,"11,247 KM",PETROL,MANUAL,Lucknow,6.02 lakh
2012,Honda,Honda City 1.5L I-VTEC ZX,1109 KM,PETROL,AUTOMATIC,Gurgaon,5.08 lakh
2022,Tata,Tata NEXON XZA PLUS PETROL,"12,616 KM",PETROL,AUTOMATIC,New Delhi,9.87 lakh
2023,Tata,Tata Tiago XT (O) PETROL,"12,657 KM",PETROL,MANUAL,New Delhi,5.74 lakh
2022,Tata,Tata Tiago XT CNG,"12,693 KM",CNG,MANUAL,New Delhi,6.33 lakh
2017,Hyundai,Hyundai NEW SANTRO SPORTZ MT,12189 KM,DIESEL,MANUAL,Gurgaon,3.49 lakh
2018,Hyundai,Hyundai VENUE SX 1.0 TURBO,1251 KM,DIESEL,MANUAL,Gurgaon,9.11 lakh
2011,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,12795 KM,DIESEL,MANUAL,Gurgaon,8.54 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,"13,069 KM",PETROL,AUTOMATIC,New Delhi,8.92 lakh
2023,Honda,Honda Amaze 1.2L I-VTEC VX CVT,"13,137 KM",PETROL,AUTOMATIC,New Delhi,8.91 lakh
2021,Tata,Tata NEXON XE PETROL,"13,415 KM",PETROL,MANUAL,New Delhi,6.81 lakh
2021,Hyundai,Hyundai NEW SANTRO MAGNA,"13,421 KM",PETROL,MANUAL,New Delhi,4.92 lakh
2020,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,13015 KM,DIESEL,MANUAL,Gurgaon,2.23 lakh
2018,Hyundai,Hyundai Elite i20 MAGNA 1.2,13310 KM,PETROL,AUTOMATIC,Gurgaon,4.12 lakh
2020,Hyundai,Hyundai VENUE SX 1.0 TURBO,13934 KM,DIESEL,MANUAL,Gurgaon,4.29 lakh
2022,Tata,Tata NEXON XZ PLUS PETROL,"14,073 KM",PETROL,MANUAL,New Delhi,9.52 lakh
2021,Tata,Tata PUNCH CREATIVE AMT 1.2 RTN DUAL TONE,"14,582 KM",PETROL,AUTOMATIC,New Delhi,7.74 lakh
2021,Tata,Tata ALTROZ XT PETROL,"14,752 KM",PETROL,MANUAL,New Delhi,6.45 lakh
2022,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,"14,842 KM",PETROL,MANUAL,New Delhi,10.55 lakh
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,14062 KM,DIESEL,MANUAL,Gurgaon,6.57 lakh
2023,Hyundai,Hyundai Elite i20 MAGNA 1.2,14179 KM,PETROL,AUTOMATIC,Gurgaon,4.98 lakh
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO,14246 KM,PETROL,AUTOMATIC,Gurgaon,2.93 lakh
2022,Hyundai,Hyundai VENUE SX 1.2 PETROL,14379KM,PETROL,MANUAL,Indore,9.81 lakh
2021,Hyundai,Hyundai VENUE S 1.2,"15,045 KM",PETROL,MANUAL,New Delhi,7.34 lakh
2023,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"15,568 KM",PETROL,MANUAL,New Delhi,6.79 lakh
2022,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"15,600 KM",PETROL,MANUAL,New Delhi,6.5 lakh
2021,Tata,Tata ALTROZ XM PLUS PETROL,15000 KM,DIESEL,MANUAL,Gurgaon,6 lakh
2022,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,15000 KM,PETROL,AUTOMATIC,Gurgaon,10 lakh
2021,Honda,Honda City 1.5L I-VTEC ZX,15198 KM,DIESEL,MANUAL,Gurgaon,8.83 lakh
2021,Hyundai,Hyundai i20 Active 1.2 S,15879 KM,PETROL,AUTOMATIC,Gurgaon,9.45 lakh
2015,Hyundai,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"16,739 KM",PETROL,AUTOMATIC,New Delhi,4.29 lakh
2022,Tata,Tata Tiago XZ PLUS CNG,"16,775 KM",CNG,MANUAL,New Delhi,6.1 lakh
2015,Hyundai,Hyundai NEW I20 Sportz (O) 1.2 IVT,16556 KM,DIESEL,MANUAL,Gurgaon,5.19 lakh
2017,Hyundai,Hyundai Elite i20 MAGNA 1.2,16779 KM,DIESEL,MANUAL,Gurgaon,9.95 lakh
2015,Hyundai,Hyundai NEW SANTRO SPORTZ MT,16906 KM,DIESEL,MANUAL,Gurgaon,5.93 lakh
2022,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"17,035 KM",PETROL,MANUAL,New Delhi,6.5 lakh
2022,Honda,Honda Amaze 1.2L I-VTEC S CVT,"17,110 KM",PETROL,AUTOMATIC,New Delhi,7.39 lakh
2019,Tata,Tata TIGOR XZ PLUS PETROL,"17,225 KM",PETROL,MANUAL,New Delhi,5.39 lakh
2019,Honda,Honda WR-V 1.2L I-VTEC VX MT,"17,242 KM",PETROL,MANUAL,New Delhi,7.26 lakh
2019,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,"17,333 KM",PETROL,MANUAL,New Delhi,9.21 lakh
2023,Tata,Tata Tiago XM CNG,"17,340 KM",CNG,MANUAL,New Delhi,6.01 lakh
2018,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"17,385 KM",PETROL,MANUAL,New Delhi,5.83 lakh
2021,Tata,Tata NEXON XZA PLUS PETROL,"17,824 KM",PETROL,AUTOMATIC,New Delhi,9.16 lakh
2018,Honda,Honda WR-V 1.2L I-VTEC S MT,"17,932 KM",PETROL,MANUAL,New Delhi,5.41 lakh
2019,Hyundai,Hyundai VENUE SX 1.0 TURBO,17750 KM,DIESEL,MANUAL,Gurgaon,8.38 lakh
2021,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,"18,098 KM",PETROL,AUTOMATIC,New Delhi,10.64 lakh
2021,Tata,ALTROZ,"18,868 KM",PETROL,MANUAL,Lucknow,7.74 lakh
2018,Honda,Honda City 1.5L I-VTEC SV,18380 KM,DIESEL,MANUAL,Gurgaon,4.06 lakh
2015,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),18889 KM,PETROL,AUTOMATIC,Gurgaon,5.77 lakh
2011,Tata,Tata NEXON XZ PLUS PETROL,18982 KM,PETROL,AUTOMATIC,Gurgaon,87059 lakh
2022,Hyundai,Hyundai Creta EX 1.5 PETROL,"19,352 KM",PETROL,MANUAL,New Delhi,11.51 lakh
2022,Tata,Tata ALTROZ XZA,"19,606 KM",PETROL,AUTOMATIC,New Delhi,7.78 lakh
2022,Tata,Tata NEXON XZA PLUS DIESEL DARK EDITION,"19,648 KM",DIESEL,AUTOMATIC,New Delhi,10.85 lakh
2021,Honda,Honda City 1.5L I-VTE V CVT,"19,655 KM",PETROL,AUTOMATIC,New Delhi,11.2 lakh
2019,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"19,784 KM",PETROL,MANUAL,New Delhi,5.45 lakh
2021,Hyundai,Hyundai VENUE S 1.2,"19,866 KM",PETROL,MANUAL,New Delhi,7.61 lakh
2015,Hyundai,Hyundai VENUE SX 1.0 TURBO,19146 KM,DIESEL,MANUAL,Gurgaon,11.52 lakh
2019,Honda,Honda City 1.5L I-VTEC V MT,19195 KM,PETROL,AUTOMATIC,Gurgaon,6.08 lakh
2020,Hyundai,Hyundai VENUE SX 1.0 TURBO,19253 KM,DIESEL,MANUAL,Gurgaon,7.01 lakh
2014,Hyundai,Hyundai NEW I20 Sportz (O) 1.2 IVT,19635 KM,PETROL,AUTOMATIC,Gurgaon,21068 lakh
2020,Hyundai,Hyundai i20 MAGNA 1.2,19722 KM,DIESEL,MANUAL,Gurgaon,5.92 lakh
2019,Honda,Honda City 1.5L I-VTEC ZX,19943 KM,PETROL,AUTOMATIC,Gurgaon,14.82 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ AMT,"2,479 KM",PETROL,AUTOMATIC,New Delhi,4.94 lakh
2023,Hyundai,Hyundai NEW I20 ASTA (O) 1.2 MT,"20,051 KM",PETROL,MANUAL,New Delhi,9.08 lakh
2021,Hyundai,Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,"20,607 KM",PETROL,AUTOMATIC,New Delhi,8.94 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,"20,631 KM",PETROL,MANUAL,New Delhi,5.41 lakh
2021,Hyundai,Hyundai Creta S 1.5 PETROL,"20,633 KM",PETROL,MANUAL,New Delhi,11.18 lakh
2022,Tata,Tata PUNCH CREATIVE 1.2 RTN DUAL TONE,"20,770 KM",PETROL,MANUAL,New Delhi,8.44 lakh
2020,Honda,City,"20,771 KM",PETROL,MANUAL,Lucknow,9.67 lakh
2022,Tata,Tata Safari XMA,"20,858 KM",DIESEL,AUTOMATIC,New Delhi,17.15 lakh
2022,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,20000 KM,PETROL,AUTOMATIC,Gurgaon,14 lakh
2010,Tata,Tata NEXON XZ PLUS PETROL,203 KM,DIESEL,MANUAL,Gurgaon,7.36 lakh
2017,Hyundai,Hyundai i20 Active 1.2 S,20473 KM,DIESEL,MANUAL,Gurgaon,7 lakh
2018,Hyundai,Hyundai NEW I20 Sportz (O) 1.2 IVT,20855 KM,DIESEL,MANUAL,Gurgaon,3.92 lakh
2017,Hyundai,Grand,"21,072 KM",PETROL,AUTOMATIC,Lucknow,4.56 lakh
2019,Hyundai,Hyundai Creta SX 1.6 PETROL,"21,240 KM",PETROL,MANUAL,New Delhi,8.66 lakh
2017,Honda,Honda Amaze 1.2L I-VTEC S AT OPT,"21,708 KM",PETROL,AUTOMATIC,New Delhi,5.38 lakh
2021,Hyundai,Hyundai NEW SANTRO SPORTZ AMT,"21,850 KM",PETROL,AUTOMATIC,New Delhi,5.42 lakh
2022,Tata,Tata PUNCH ACCOMPLISHED MT,"21,955 KM",PETROL,MANUAL,New Delhi,6.7 lakh
2021,Tata,Tata Harrier XZA PLUS 2.0L KAZIRANGA,"21,995 KM",DIESEL,AUTOMATIC,New Delhi,16.44 lakh
2019,Hyundai,Hyundai Elite i20 MAGNA 1.2,2128 KM,DIESEL,MANUAL,Gurgaon,4.82 lakh
